index,키워드,키워드_빈도,포함_인물_수,포함_문장_수,포함_문장
0,성내동,343,39,4,"성내동에서 이천여명의 군중과 같이 한국독립만세를 부르고 시장 부근을 행진하였다.
성내동 시장에서 군중과 태극기를 휘날리며 한국독립만세를 외치며 행진하였고 각 관공서를 습격하여 기물을 파괴, 훼손하였다.
성내동에서 이천여명의 군중과 같이 한국독립만세를 부르고 시장 부근을 행진하며 각 관공서에 난입하여 기물 파기, 비품훼손을 하며 해산거부를 하고 한국독립만세를 고창하며 성내동 시장 부근을 행진하였다.
성내동 시장에서 군중과 함께 태극기를 휘날리며 한국독립만세를 외치며 행진하였다."
1,한국,298,97,36,"이정규 등에게 영덕읍내 시장에서 한국독립만세를 외치자 선동하여 집단을 이루어 함께 한국독립만세를 절규하였다.
성내동에서 이천여명의 군중과 같이 한국독립만세를 부르고 시장 부근을 행진하였다.
군중과 함께 한국독립만세를 외치며 행진하며 시위운동을 하였다.
대정 8년 3월 어느 날 경상북도 경주군 경주읍내에서 군중과 함께 한국독립 시위운동의 목적으로 한국독립만세를 외쳤고, 신용보험료 등 공공요금을 수 회 편취, 사용하였다.
다중의 단체와 함께 한국독립만세를 외쳤다.
사촌동에서 20여명과 같이 한국독립만세를 연호하였다.
군중과 같이 한국 독립만세 시위운동으로 독립만세를 고창하며 안평면내 마을을 행진하였다.
18일 밤 의성시장으로부터 귀도에 안평면 신월동에서 이화실이 인솔하는 군중에 참가하여 함께 한국독립만세를 연창하면서 동내를 대열을 지어서 당당하게 행진하였다.
태극기를 흔들며 한국독립만세를 외치며 행진하였다.
한국독립만세시위운동으로 군중들과 같이 대한독립만세를 고창하였다.
군중과 함께 한국독립만세를 연호하면서 각 동을 행진하였다.
성내동에서 이천여명의 군중과 같이 한국독립만세를 부르고 시장 부근을 행진하며 각 관공서에 난입하여 기물 파기, 비품훼손을 하며 해산거부를 하고 한국독립만세를 고창하며 성내동 시장 부근을 행진하였다.
한국독립만세를 함께 고창할 것을 권유하자 이에 응하여 송내동에서 대한독립만세를 고창하였다.
예수교인으로 한국독립만세시위운동으로 태극기를 흔들며 대한독립만세를 고창하였다.
사촌동에서 태극기를 들고 점곡순사주재소에 이르러 한국독립만세를 연호하였다.
집합한 다수의 군중과 함께 한국독립만세를 불렀다.
백여명 군중과 함게 한국독립만세를 연호하며 대열을 지어 행진하였다.
독립만세 시위운동의 군중과 같이 한국독립만세를 외쳤다.
한국독립시위운동을 위하여 태극기를 제작하여 한국독립만세를 부르자 선동하였다.
한국독립만세를 함께 고창할 것을 권유하자 이에 응하여 사촌동에서 대한독립만세를 고창하였다.
점곡주재소 앞 십자로에서 백여 명의 군집과 함께 한국독립만세를 고창하였다.
완전동 노영수의 집에 모여 태극기를 게양하고 한국독립만세를 고창하였다.
사촌동 중앙도로에서 군중들과 같이 한국독립만세를 고창하였다.
한국독립 시위운동을 목적으로 한국독립만세를 고창할 것을 선동, 행진하며 독립만세를 고창하였다.
덕산정 시장에서 많은 조선인과 함께 태극기를 흔들며 한국독립만세를 외치며 시위운동을 하였다.
군중들에게 한국독립만세를 고창하도록 선동하여 함께 고창하였다.
성내동 시장에서 군중과 함께 태극기를 휘날리며 한국독립만세를 외치며 행진하였다.
태극기를 만들어 국기를 가지고 원평리 시장의 군중 안에서 한국독립만세를 외쳤다.
3.1운동으로 파고다공원에서 한국독립시위운동으로 군중과 같이 독립만세를 연호하였고, 동화사에서 지방학림생도들에게 각지에서 기독교, 천도교도, 학생 등이 한국독립만세를 외치는데, 독립시위운동 할 것을 선동 권유하였다.
조선독립선언서, 공약서 등을 인쇄하여 양산읍내 시장에서 배포하고 군중을 선동하여 함께 한국독립만세를 부르며 군청까지 쇄도하였다.
남창리 시장에 모인 군중과 함께 솔선하여 한국독립만세를 외쳤다.
동민과 함께 한국독립만세를 연호하면서 각  동을 행진하다
한국독립을 목적으로 군중들과 같이 만지시장에서 한국독립만세를 연호하였다.
20여명과 함께 한국독립만세 연호하며 대열을 지어 행진하였다.
석탑동 동내의 밭에서 함께 한국독립만세를 외쳤다.
미대동 여봉산에서 독립시위운동으로 한국독립만세를 연호하였다."
2,만세,267,209,117,"사람들이 집문 앞을 지나면서 조선독립만세를 외쳐 조선인으로 따라가 함께 만세를 외쳤다.
군중들과 같이 선동하여 독립만세시위운동으로 독립만세를 고창하였다.
조선독립만세를 불러 치안을 방해 한 자이다.
조선독립만세 소리를 듣고 군중과 함께 조선독립만세를 고창하였다.
인근 동민들과 함께 뒷산에 올라 조선독립만세를 불렀다.
군중과 같이 조선독립만세를 고창하였다.
제천시장에서 군중을 선동하여 독립만세시위운동으로 독립만세를 고창하였다.
대주훈련소에서  독립만세를 부르며 도망치던 조선인을 돌로 쳐서 죽였다.라고 하였다.
조선인으로 조선독립만세를 부른 자이다.
주민들을 모집하여 조선독립만세를 주창하였다.
내종리 시장에서 조선독립만세를 고창하였다.
시장에서 군중들이 조선독립만세를 부르는데 참가하여 만세를 불렀다.
조선국이 독립을 하기 위해서는 먼저 독립만세를 불러야 한다고 교사하였다.
한국독립만세시위운동으로 군중들과 같이 대한독립만세를 고창하였다.
헌병분견소에서 독립만세를 고창하였다.
조선독립만세도 부른 적도 없고 증거도 없는데 처벌받아 상고하였다.
조선독립만세를 부르며 행진하였다.
군중들과 같이 독립만세시위 운동으로 독립만세를 고창하였다.
군중과 같이 독립만세운동을 하였다.
용천군 양시장날 시장에서 2,3천명과 함께 조선독립만세를 불렀다.
1919년 3월 15일 다수와 함께 조선독립만세를 부른 자이다.
석암리 시장의 군중이 오늘은 대한독립의 날로 일반시민은 만세를 부르라는 하여 만세를 불렀다.
마을 뒷산에서 조선독립만세시위운동으로 군중과 같이 독립만세를 고창하였다.
열린 시장에서 군중들과 같이 대한독립만세라고 쓴 기를 흔들며 조선독립만세를 외쳤다.
군중과 함께 조선독립만세를 고창하였다.
온정시장에 시민들이 모여 조선독립만세를 외치자 참가하여 함께 만세를 외쳤다.
시민들이 하나같이 독립만세를 외치자 함께 두세번 만세를 외쳤다.
다수의 사람들과 함께 조선독립만세를 외쳤다.
조선독립을 희망하여 만세를 부르며 독립운동을 하였다.
조선독립운동을 일으는 것에 찬동하여 대한독립만세를 불렀다.
대한독립만세를 고창하고 군중들에게 독립만세를 다같이 높이 부르자고 선동하였다.
조선독립만세를 외쳤다.
주민을 모아서 풍물을 울리며 조선독립만세를 부르며 시위 하였다.
태극기를 흔들며 독립만세를 외쳤다.
천제의 예배 후 조선독립만세를 불렀고 바로 헌병이 와서 포박당하였다.
이능렬과 같이 조선독립만세를 외쳤다.
독립만세 시위운동의 군중과 같이 한국독립만세를 외쳤다.
태극기를 들고 조선독립만세를 고창하였다.
3.1 독립만세운동으로 서로 함께 조선독립만세를 외쳤다.
조선독립만세를 부르라 선동, 협박한 자이다.
사인 장날 임봉학 최경학 등이 와서 조선의 독립을 알리고  만세를 불러 함께 만세를 외쳤다.
조선인으로서 군중과 함께 조선독립만세를 불렀다.
조선독립만세를 부르며 가두행진을 하였다.
오진동에서 모의하여 대천동 운문면사무소 직원에게 협박하여 '대한독립만세'를 수건에  기록하게 하여 군중들과 같이 독립만세시위 운동으로 독립만세를 고창하였다.
시장에서 군중이 자주독립만세를 고창하여 함께 만세를 불렀다.
1919년 3월 11일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
1919년 3월 18일  태극기 20본을 만들어 3월 19일 유천리에서 조선독립만세를 부른 자이다.
조선민족으로서 당연한 의무로 조선독립만세를 불렀다.
태극기를 흔들며 조선독립만세를 고창하였다.
1919년 3월 3일 봉산군 사원면 사리원에서 수백명의 군중과 함께 조선독립만세를 한 자이다.
다중과 함께 조선독립만세를 불렀다.
낙화암에서 독립만세를 고창하였다.
조선독립만세를 불렀다.
주민과 같이 독립만세에 가담하였다.
독립만세시위운동으로 군중들과 같이 독립만세를 고창하였다.
수십명을 선동, 인솔하여 함께 독립만세를 부르며  조선독립만세를 고창하였다.
조선민족으로 독립만세를 한 자이다.
독립만세를 부르는 장소에 참아하여 한마음으로 만세를 불렀다.
좌천동 노상에서 독립만세를 불렀다.
1919년 3월 12일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
조선을 독립시키기 위해 만세를 외쳤다.
만경시장에서 조선독립만세를 외쳤다.
다수 군중과 함께 독립만세를 창화하였다.
많은 군중과 함께 조선독립만세를 고창하였다.
조선민족으로써 조선독립만세를 부른 자이다.
인천공설운동장을 산보 중 야구장 입구 매표소 창구에 로마자로 조선독립만세, 선지일체라고 낙서하였다.
조선독립만세를 외쳤고 33인이 서명한 선언서를 등사하였다.
밀서가 와 확인을 위해 최인식에게 갔다 독립만세를 부를 것라 듣고 국기를 받아 왔으나 돌아와 태워버렸다.
3월 2일 사립보명학교 앞에서 대중과 함께 조선독립만세를 부른 자이다.
군중과 같이 독립만세를 고창하였다.
학생들과 한께 조선독립만세를 외쳤다.
군중들과 같이 조선독립만세를 고창하였다.
예수교인으로 한국독립만세시위운동으로 태극기를 제작하고 대한독립만세라고 써서 의성시장에서 태극기를  흔들며 대한독립만세를 고창하였다.
장에 독립만세의 소리에 각 곳에서 만세를 부르니 당연히 만세를 불러야 한다는 말을 듣고 만세를 부르다 체포되었다.
피고는 조선민족으로 조선독립만세를 부른 자이다.
이달봉의 건유에 응하여 조선독립만세를 불러 치안을 방해한 자이다.
1919년 3월 6일 중화군 간동면 간동장리 장날에서 시장사람과 독립만세를 부른 자이다.
군수의 손에 태극기를 쥐어주고 만세를 부르라 강요, 군수가 만세를 부르자 함께 조선독립만세를 부르는등 치안을 방해한 자이다.
조선독립만세를 부르며 순회하였다. 
은파시장에서 군중과 함께 조선독립만세를 불렀다.
태극기를 흔들고 조선 독립만세를 절규하였다.
대한독립만세라고 태극기를 제작하여 경부선 철로 옆에 걸었다.
나찬흥이 선언서를 부며 조선독립만세를 부르라고 권하여 선언서를 반포하겨 만세를 주도하였다.
시장에서 조선독립만세를 불렀다.
문장리시장에서 군중과 함께 조선독립만세를 외쳤다.
피고는 조선인으로써 조선 독립만세를 부른 자이다.
장날 읍에 갔다가 사람들이 모여 만세를 외치며 조선이 독립하려면 만세를 외쳐야한다고 하여 만세를 한번 부르고 귀가하였다.
독립만세시위운동으로 선동하여 예안시장에서 군중의 틈을 노려 태극기를 휘두르며 독립만세를 외쳤다.
1919년 3월 5일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
제사를 모시기 위하여 사람들이 모여 있던 공동묘지에서 조선독립만세를 외쳤다.
군중 600명과 함께 조선독립만세를 외쳤다.
1919년 3월 8일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
영해면 주재소 앞에서 조선독립만세를 부른 자이다.
군중들과 독립만세를 고창하였다.
조선독립시위운동에 참가하여 만세를 불렀다.
조선독립만세라고 써서 읍내리 도로에서 조선독립만세를 외쳤다.
석탑동 동내의 밭에서 함께 한국독립만세를 외쳤다.
경성의 소식을 듣고 동포 수백인과 조선독립만세를 불렀다.
조선민족으로 군중과 함께 조선독립만세를 불렀다.
조병렬 등에게 이지방에서 독립만세를 부를 것을 권유하였다.
군중과 함께 독립만세를 외쳤다.
조선 각지에서 일어난 독립만세시위운동에 찬성하고 만세를 불렀다.
주민 3십여 명을 선동하여 조선독립만세를 불렀다.
조선민족으로서 의무를 표하기 위하여 조선독립만세를 불렀다.
융희황제북순시 영접용국기30매를 가지고나와 흔들고 주민 십오륙명과 함께 조선 독립만세를 불렀다.
선동한 일도 소요를 일으킨 일도 없이 단지 조선독립만세를 불렀다.
전병운의 집으로 조선독립통지서가 왔다길래 가보니 조선독립이 확실하게 될 것이니 만세를 동창하는 편지에 따라 만세를 불렀다.
낙화암에서 독립만세를 고창하였고, 백화정의 동측 헌주의 외면에다 「조선독립만세」를 낙서를 하였다.
조선독립만세를 호창하였다.
조선호텔 부근 도로에서 여학생이 조선독립만세를 부르다가 끌려가자 격분하여 단독으로 독립만세를 외쳤다.
시민들이 독립만세를 외치자 조선동족으로 함께 독립만세를 외쳤다.
1919년 3월 6일  순안에서 조선독립만세를 불러 치안을 방해 한 자이다.
약목시장에서 장날 모인 다중과 함께 독립만세를 외쳤다.
그리스도 교회당에서 독립만세를 부르자 선동 조선독립만세를 불러 치안을 방해한자이다.
군중들과 같이 독립만세시위운동으로 독립만세를 고창하였다.
나자승 등과 조선독립만세단을 조직 독립만세를 부른 자이다.
주민들과 같이 독립만세시위운동으로 조선독립만세를 소리높여 외쳤다."
3,부근,258,63,9,"함종리 부근의 군중을 선동, 규합하여 대집단을 이루어 태극기를 흔들며 조선독립만세를 부르며 함종읍으로 행진하였다.
성내동에서 이천여명의 군중과 같이 한국독립만세를 부르고 시장 부근을 행진하였다.
성내동에서 이천여명의 군중과 같이 한국독립만세를 부르고 시장 부근을 행진하며 각 관공서에 난입하여 기물 파기, 비품훼손을 하며 해산거부를 하고 한국독립만세를 고창하며 성내동 시장 부근을 행진하였다.
서부동 시장 부근을 걸어서 대한독립만세를  고창하며 행진을 하였다.
서부동 시장 부근을 걸어서 대한독립만세를  고창 연호 하였다.
부근 주민을 선동하여 군중과 같이 조선독립만세를 외쳤다.
수십명의 동교 생도들과 함께 서문 부근에서 시위운동을 일으켜 한국독립만세를 외치며 행진을 하였다.
3십명의 군중과 거주지 면사무소부근에서 조선독립만세를 고창하였다.
조선호텔 부근 도로에서 여학생이 조선독립만세를 부르다가 끌려가자 격분하여 단독으로 독립만세를 외쳤다."
4,발포,212,107,4,"조선독립선언과 동시에 선언서를 발포하여 대한독립만세, 조선독립만세를 절구하며 독립시위운동을 하였다.
조선독립선언과 동시에 선언서를 발포하여 조선독립만세를 부르며 독립시위운동을 하였다.
경성에서 선언서를 발포하고 독립만세를 부른다고 듣고 군중을 선동하여 만세를 불렀다.
경성에서 선언서를 발포하고 독립만세를 부른다고 듣고 이동찬이 선동하자 조선독립만세를 불렀다."
5,동시,210,105,2,"조선독립선언과 동시에 선언서를 발포하여 대한독립만세, 조선독립만세를 절구하며 독립시위운동을 하였다.
조선독립선언과 동시에 선언서를 발포하여 조선독립만세를 부르며 독립시위운동을 하였다."
6,절구,196,98,1,"조선독립선언과 동시에 선언서를 발포하여 대한독립만세, 조선독립만세를 절구하며 독립시위운동을 하였다."
7,고창,163,116,56,"조선독립국이라 쓴 큰 깃발을 흔들며 조선독립만세를 고창하며 선동하였다.
군중들과 같이 선동하여 독립만세시위운동으로 독립만세를 고창하였다.
조선독립만세 소리를 듣고 군중과 함께 조선독립만세를 고창하였다.
군중과 같이 조선독립만세를 고창하였다.
제천시장에서 군중을 선동하여 독립만세시위운동으로 독립만세를 고창하였다.
내종리 시장에서 조선독립만세를 고창하였다.
헌병분견소에서 독립만세를 고창하였다.
언양읍 장날 군중과 함께 조선독립만세를 고창하였다.
군중과 함께 조선독립만세를 고창하며 경성부내를 행진하였다.
친계를 조직하여 조선독립만세를 고창할 서약서를 작성하고 대한독립기를 흔들며 군중에게 조선 각지에서 조선독립 운동이 일어나니 우리도 뜻을 같이하여  조선독립을 외치자라고 선동하며 조선독립만세를 고창하였다.
백 여 명의 군중들과 함께 재덕 헌병 분견소 앞에서 조선독립만세를 고창하였다.
한국독립만세를 함께 고창할 것을 권유하자 이에 응하여 송내동에서 대한독립만세를 고창하였다.
군중과 함께 조선독립만세를 고창하였다.
수명과 함께 횃불에 불을 붙이고 조선독립 만세를 고창 하였다
군중과 함께 태극기를 흔들며 독립만세를 고창하였다.
 학생단이 계획하는 제 2회의 시위운동에 찬동하여 독립기와 적포를 흔들면서 조선독립만세를 고창하는 수백명의 군중과 같이 행진을 하며 조선독립만세를 고창하였다.
경주읍 장날에 많은 군중들과 같이 태극기를 흔들며 대한독립만세를 고창하였다.
신사리 연못가와 당제산에서 모인 수십 명의 군중과 함께 조선독립만세를 고창하다.
태극기를 들고 조선독립만세를 고창하였다.
동민 약 30명과 함께 마전동, 창길동에서 대한독립만세를 고창하였다.
수륜동 만지시장에서 수명과 함께 독립만세를 고창하였다.
하석리에서 다수민중과 독립만세를 고창하였다.
시장에서 군중이 자주독립만세를 고창하여 함께 만세를 불렀다.
동창생의 독립만세고창 권유로 만세고창을 하였다하나 피고는 사실무관을 주장한다.
군중이 조선독립만세를 호창함에 이에 참가하여 고창하였다.
쌍정리 뒷산에서 조선독립만세를 고창하였다.
한국독립만세를 함께 고창할 것을 권유하자 이에 응하여 사촌동에서 대한독립만세를 고창하였다.
태극기를 흔들며 조선독립만세를 고창하였다.
한국독립 시위운동을 목적으로 한국독립만세를 고창할 것을 선동, 행진하며 독립만세를 고창하였다.
낙화암에서 독립만세를 고창하였다.
태극기를 들고 군중과 함께 조선독립만세를 고창하였다.
독립만세시위운동으로 군중들과 같이 독립만세를 고창하였다.
군중들에게 한국독립만세를 고창하도록 선동하여 함께 고창하였다.
읍내를 행진하며 군중과 함께 독립만세를 고창하였다.
읍내에서 군중이 조선독립만세를 고창하자 이에 찬동하여 군중과 함께 독립만세를 고창하였다.
군중과 함께 조선독립만세를 고창하며 읍내를 행진하였다.
군중에 가담하여 대한독립만세를 고창함으로서 치안을 방해하였다.
독립만세를 고창하며 면사무소 집기를 손괴하다.
많은 군중과 함께 조선독립만세를 고창하였다.
군중과 같이 독립만세를 고창하였다.
군중들과 같이 조선독립만세를 고창하였다.
독립시위운동에 가담하여 독립만세를 고창하였다.
조선독립시위운동을 위하여 군중과 함께 조선독립만세를 고창하였다.
3.1만세운동의 수천명의 군중과 같이 조선독립만세를 고창하였다.
군중과 같이 조선 독립시위운동의 방법으로 조선독립만세를 고창하였다.
도로공사 인부에게 조선 독립만세를 부르기를 권유, 선동하여 주민 100명과 함께 죽산 경찰관주재소와 면사무소에 밀고 들어가 함께 조선독립만세를 고창하였고,이튼 날 시장에서 군중과 함께 조선독립만세를 고창하였다.
옷자락으로 조선독립자주라고 써서 깃발 한 폭을 만들어 들고 헌병분견소 지점에 이르러 함께 조선독립만세를 고창하였다.
천안읍 장날에 장터 군중을 선동하여 대한독립만세를 고창하였다.
군중들과 독립만세를 고창하였다.
군중 수백 명과 함께 면사무소에 가서 조선독립만세를 고창하였고,다음날 주민 천여 명과 함께 사무소에서 독립만세를 고창하고 시장에 가서 독립시위운동을 하였다.
군중과 같이 독립시위운동으로 조선독립만세를 고창하였다. 
주민 30여 명을 선동하여 구한국 독립만세를 고창하였다.
천도교도로 조선독립만세를 고창하였다.
군중과 함께 조선 독립만세를 고창하며 마을을 행진하였다.
조선독립만세를 고창하고 독립선언서를 배부하고 선동하였다.
군중들과 같이 독립만세시위운동으로 독립만세를 고창하였다."
8,조선,156,115,59,"천황을 비하 하였고 잘못된 한일합병임으로 조선이 독립하는것은  당연 하다고 말하였다.
군중과 함께 조선독립시위운동 방법으로 조선독립만세를 외쳤다.
조선독립운동을 위해 독립만세를 고창하여 소요가 극에 달한 군중과 함께 조선독립만세를 절규하였고, 서정기와 함께 '반도의 목탁', '팔면에서 관찰한 조선의 참상'이라는 제목의 조선독립운동에 관한문서를 인쇄하여 각지에 배부하였다.
조선독립 대회단에 가맹하였다
시장에서 조선독립단에 가담하여 조선독립만세를 불렀다.
조선인으로 조선독립만세를 부른 자이다.
조선독립만세도 부른 적도 없고 증거도 없는데 처벌받아 상고하였다.
조선독립만세를 부르며 행진하였다.
친계를 조직하여 조선독립만세를 고창할 서약서를 작성하고 대한독립기를 흔들며 군중에게 조선 각지에서 조선독립 운동이 일어나니 우리도 뜻을 같이하여  조선독립을 외치자라고 선동하며 조선독립만세를 고창하였다.
군중과 함께 조선독립만세를 주창하고 조선이 독립되어야 하는 이유 13건을 인쇄, 배부한 자이다.
동부동 뒷산에서 9명이 함께 조선독립을위하여 조선독립만세를  2회 불렀다.
안주군 내에서 조선독립선언서 10장을 배부하였다.
조선독립을  위해 조선독립 만세를 부른 자이다.
송문수 등과 공모하여 포항동에서 조선독립 시위운동을 하려고 하였다.
1919년 3월 15일 다수와 함께 조선독립만세를 부른 자이다.
조선독립을  위해 조선독립단을 조직운영하며 조선독립운동을 부른 자이다.
조선독립만세를 외쳤다.
천제의 예배 후 조선독립만세를 불렀고 바로 헌병이 와서 포박당하였다.
이능렬과 같이 조선독립만세를 외쳤다.
조선독립운동을 열망 손병희 등 33인이 조선독립선언을 하자 다수의 군중과 파고다공원에서 조선독립만세를 부르고 이채극,이철, 김옥택 등에게 자금을 제공 풍선을 사모아 조선독립이라 써서 올리도록 교사하는등 치안을 방해한자이다.
조선독립만세를 부르며 가두행진을 하였다.
조선독립은 당연한 일로 이를 찬성하여 군중과 조선독립만세를 불렀다.
1919년 3월 11일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
1919년 3월 18일  태극기 20본을 만들어 3월 19일 유천리에서 조선독립만세를 부른 자이다.
다중과 함께 조선독립만세를 불렀다.
조선독립만세를 불렀다.
조선민단의 발기인 및 간사로 조선독립을 희망 조선민단 주최의 강연회를 개최 청중 천 수백 명에게 조선민족은 죽음을 무서워 말고 분기하여 조선독립의목적을 관철하자고 연설 한.일합병을 반대하고 조선독립운동을 선동, 고무하여 안녕질서를 방해한자이다.
한일 병합이후 조선의 독립을 갈망하던 중 군중과 조선독립만세를 불러 치안을 방해한 자이다.
민족주의를 품고 조선독립을 염원하고 태원영화를 숭배하면 신세계의 지도자가 된다는 허언망동을 하였다.
1919년 3월 12일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
1944년 5월 8월 11월 3회 일본패망과 조선독립의 소신을 설명하였다
조선을 독립시키기 위해 만세를 외쳤다.
만경시장에서 조선독립만세를 외쳤다.
조선민족으로써 조선독립만세를 부른 자이다.
인천공설운동장을 산보 중 야구장 입구 매표소 창구에 로마자로 조선독립만세, 선지일체라고 낙서하였다.
우리나라는 찬란한 문화를 바탕으로 조선 독립운동은 당연하다라고 하며 독립운동을 한 자이다.
조선독립을 희망하여 조선독립만세를 불렀다.
학생들과 한께 조선독립만세를 외쳤다.
조선독립을 희망하던 중 조선독립만세를 불렀다.
불교도로 해인의 주인이 조속히 나타나도록 축원할 것을 완주군 운주면 등지에서 포교함으로써 조선독립의 성취 발원하였다.
조선독립에 관한 선언서를 2군에 배부하였다. 
조선독립시위운동을 위하여 군중과 함께 조선독립만세를 고창하였다.
조선독립만세를 부르며 순회하였다. 
시장에서 조선독립만세를 불렀다.
조선독립 축하의 뜻으로 조선독립만세를 외쳤다.
조선독립의 소리가 들리자 군중을 따라 조선독립만세를 불렀다.
독립선언서를 인쇄하고 혈서로 조선독립만세, 조선독립단이라고 쓴 깃발을 제작하여 장기시장에 모여 배포하고 조선독립만세를 고창하며 시위운동을 하였다.
1919년 3월 5일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
김각배를 만나 그에게 조선독립을 부식한다하여 취중에 어떠한 일인지 모르고 알지도 못하고 관헌에 제지를 당했다.
제사를 모시기 위하여 사람들이 모여 있던 공동묘지에서 조선독립만세를 외쳤다.
1919년 3월 8일  덕천군 읍내에서 조선 독립만세를 부른 자이다.
영해면 주재소 앞에서 조선독립만세를 부른 자이다.
조선독립선언서를 낭독하였다.
조선독립의 목적으로 시위운동을 하였다.
전병운의 집으로 조선독립통지서가 왔다길래 가보니 조선독립이 확실하게 될 것이니 만세를 동창하는 편지에 따라 만세를 불렀다.
조선독립만세를 호창하였다.
조선의 독립에 대한 연설을 하였다. 
조선독립단을 따라 선천군 등에서 군자금을 모집할때 문밖을 지키는 등의 일을 하였다.
화촌원섭은 1944년 2월 26일 경성부 종로구 체부정 자택에서 야촌하태 등에게 조선독립이 가능하다고 방언하였다."
9,장날,149,82,33,"장날에 한국독립시위운동을 하자고 선동하여 함께 대한국독립만세를 외쳤다.
다수의 동지를 규합, 장날을 이용하여 독립운동을 개시할 것을 결의하고, 보통학교에서 3, 4학년생도에게 장날 시장에서 조선독립만세를 부르자 태극기는 준비하였으니 집합하라고 참가를 권유하였다.
생도에게 장날 담양읍 시장에서 조선독립만세를 외치자고 선동하고 권유하였다.
괴산장날 시장에서 만세운동 후 귀가하는 군중을 선동하여 조선독립만세를 외쳤다.
다중을 규합하여 조선독립시위운동으로  화천시장 장날 독립시위운동을 한다고 박장록에게 전하였다.
국기를 제작배포하고 양양읍 장날 50여 군중과 함께 조선독립만세를 창화하였다.
태극기 수십본을 제작하여 의성장날 군중에게 배포한 후 독립만세를 고창, 선동하였다.
언양읍 장날 군중과 함께 조선독립만세를 고창하였다.
기독교들로 독립만세를 부르기로 회합 모의하고 덕성 장날 시위운동으로 독립만세를 고창하였다.
독립선언시위운동을 알리고, 유천 장날 시장에서 학생, 청년 등과 같이 독립만세를 고창하기위하여 태극기 24본을 만들어 배부하였다.
용천군 양시장날 시장에서 2,3천명과 함께 조선독립만세를 불렀다.
편항 장날에 군중들과 같이 독립만세를 외치며 주재소를 습격하여 기물을 파괴하고 순사를 폭행을 하였다.
독립만세운동으로 강진면 장날에 시위운동을 하기로 하고 은밀히 독립운동에 관한 선언서의 초안을 작성하였고  태극기 제작비로 금 2원을 각출하여 태극기를 제작하였다.
경주읍 장날에 많은 군중들과 같이 태극기를 흔들며 대한독립만세를 고창하였다.
사인 장날 임봉학 최경학 등이 와서 조선의 독립을 알리고  만세를 불러 함께 만세를 외쳤다.
타인을 선동 화천읍 장날을 기해 만세를 부르자 선동 주민 약300여명과 조선독립만세를 부르며 면사무소로행진 치안을 방해한 자이다.
창천 장날 20여명과 같이 포후산 정상에서 대한독립만세를 고창하였다.
예수교회에서 경주읍 장날에 많은 사람을 규합하여 태극기를 흔들며 대한독립만세 시위운동을 하기로 결의하고 태극기를 제작하여 장날 많은 군중과 함께 대한독립만세를 고창하였다.
조선독립 선언서 인쇄하고 태극기 제작하여 읍내 장날 배포하고 대한독립만세를 고창하였다.
4일 대화리 장날 5일 평창읍 장날을 이용하여 조선 독립만세시위 운동을 선동하였다.
1919년 3월 6일 중화군 간동면 간동장리 장날에서 시장사람과 독립만세를 부른 자이다.
오수리 장날 군중들과 조선독립만세를 외치며 시위운동 거행하고 관공서를 습격하여 파괴하여 소요를 일으켰다. 
제천장날 군중을 선동, 태극기를 배부하고 조선독립만세를 부르며 시위운동을 하려고 태극기 약 1200개를 만들었다.
이죽면 장날군중이 참집한 것을 기회로 조선독립사상을 고취시키는 문서를 배포하여 선동하고, 군중에게 연설을 하였다.
천안읍 장날에 장터 군중을 선동하여 대한독립만세를 고창하였다.
고례리 주민을 전날 권유하여 태룡리 장날 수백 군중과 합세하여 조선독립만세라고 쓴 큰기를 들고 수차례 만세를 고창하였다.
피고는 용천군 남시동 장날인 1919년 3월 6일 오후2시 에 조선독립만세를 부른 자이다.
기독교도로 독립만세시위운동으로 약목시장 장날 시위운동을 하기로 권유, 선동하였다.
구한국기150장을 만들고 읍내리 장날 조선독립만세를 외치며 각소를 행진 하였다
약목시장에서 장날 모인 다중과 함께 독립만세를 외쳤다.
조선독립선언서, 집필한 ""선언""을 백장을 인쇄 괴산장날 군중에 배포, 선동 만세를고창하였다.
조선독립운동을 할 목적으로 선언서를 제작, 인쇄하여 괴산장날에 공중에게 반포하며 독립만세를 고창하였다.
괴산장날 시장에서 군중을 선동하여 조선독립만세를 외쳤다."
